student_id,first_name,last_name,middle_initial,course,year_level,section
412265,Alden,Santos,A,BSIT,1,A
412266,Briana,Patel,B,BSIT,2,B
412267,Caleb,Ramos,C,BSIT,3,A
412268,Dianne,Lopez,D,BSCS,1,C
412269,Ethan,Bautista,E,BSCS,2,A
412270,Faye,Reyes,F,BSCS,3,B
412271,Gavin,Tan,G,BSBA,1,A
412272,Hana,Rivera,H,BSBA,2,C
412273,Ivan,Cruz,I,BSOA,1,B
412274,Janelle,Mendoza,J,BSOA,2,A
412275,Kai,Soriano,K,BSIT,4,A
412276,Liza,Dela Cruz,L,BSIT,1,B
412277,Milo,Villanueva,M,BSCS,2,C
412278,Nina,Aguilar,N,BSCS,3,A
412279,Omar,Santiago,O,BSBA,1,B
412280,Paula,Mabini,P,BSBA,2,A
412281,Quinn,Ferrer,Q,BSOA,3,C
412282,Rhea,Castillo,R,BSOA,4,A
412283,Seth,Garcia,S,BSIT,2,B
412284,Tara,Navarro,T,BSIT,3,C
412285,Ulric,Sison,U,BSCS,1,A
412286,Vera,Luna,V,BSCS,2,B
412287,Wes,Manalo,W,BSBA,3,C
412288,Xena,Pineda,X,BSBA,4,A
412289,Yann,Rosales,Y,BSOA,1,C
412290,Zara,Valdez,Z,BSOA,2,B
412291,Ari,Alvarez,A,BSIT,1,A
412292,Bea,Basco,B,BSIT,2,A
412293,Chris,Bonifacio,C,BSCS,1,B
412294,Daphne,Cayanan,D,BSCS,2,A
412295,Enzo,Domingo,E,BSBA,3,A
412296,Faith,Enriquez,F,BSBA,1,C
412297,Gio,Flores,G,BSOA,2,A
412298,Hazel,Gonzales,H,BSOA,4,B
412299,Iris,Hernandez,I,BSIT,3,B
412300,Jasper,Ilagan,J,BSIT,4,C
412301,Kathy,Jimenez,K,BSCS,2,C
412302,Leo,Kawit,L,BSCS,3,A
412303,Mika,Lacson,M,BSBA,1,A
412304,Noel,Marasigan,N,BSBA,2,B
412305,Olive,Natividad,O,BSOA,1,B
412306,Paco,Ocampo,P,BSOA,2,C
412307,Queen,Padilla,Q,BSIT,1,C
412308,Rico,Quintos,R,BSIT,2,A
412309,Sonia,Razon,S,BSCS,3,B
412310,Theo,Salazar,T,BSCS,4,A
412311,Uma,Tolentino,U,BSBA,1,B
412312,Vin,Uy,V,BSBA,2,C
412313,Willa,Vera,W,BSOA,3,A
412314,Xavier,Yap,X,BSOA,4,C
